Company	Paddle	Core Thickness (mm)	Condition	Price	Shape	Manufacturing Process	Surface Texture	Surface Material	Core Material	Spin RPM	Spin Percentile	Length (in)	Width (in)	Handle Length (in)	Static Weight (oz)	Swing Weight	Swing Weight Percentile	Twist Weight	Twist Weight Percentile	Balance Point (cm)	Balance Point Percentile	Serve Speed-MPH (Power)	Power Percentile	Punch Volley Speed-MPH (Pop)	Pop Percentile	Surface Hardness (Shore D)
Electrum	Model E	16	Used-6 months	119.99	Elongated	Cold Layered	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,575	20%	16.5	7.4	5.25	8.2	122	78%	6.8	82%							
Electrum	Pro II	11	Used-1 month	149.99	Standard	Hot Molded	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,089	70%	16	8	5.25	7.6	106	11%	6.75	79%	23.7	34%	51	1%	34.3	38%	89.8
Franklin	Ben Johns Signature	13	Used-2 months	100.0	Elongated	Cold Layered	Grit	Fiberglass	Polypropylene Honeycomb	1,267	11%	16.5	7.3	5.5	8.1	120	68%									86.7
Franklin	Carbon STK	14.5	New	149.99	Elongated	Cold Layered	Unknown	Carbon Fiber	Polypropylene Honeycomb	1,251	10%	16.5	7.5	4.25	7.6	118	63%	5.76	26%	24.6	87%	51.7	10%	30.9	0%	89.7
GRÜVN	Raw-16H	16	New	139.0	Elongated	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,166	80%	16.5	7.4	5.88	7.7	121	72%	5.74	25%	25	98%	52.6	14%	33.8	22%	93.3
GRÜVN	Raw-16RX	16	New	139.0	Elongated	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	1,877	42%	16.5	7.4	6	7.8	119	67%	5.7	17%	24.5	78%	52.8	22%	34.2	34%	93.5
GRÜVN	Raw-16X	16	New	139.0	Elongated	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,152	78%	16.5	7.4	5.5	8	122	78%	6.07	41%	24.5	78%	53.8	37%	33.8	22%	93.2
Honolulu Pickleball Co.	Sword & Shield-J2	16	New	145.0	Hybrid	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,714	21%	16.2	7.8	5.5	8	118	62%	6.55	71%	24	55%	55.2	71%	34.4	43%	90
Honolulu Pickleball Co.	Sword & Shield-J3	16	New	130.5	Standard	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,778	28%	16	8	6	8	111	31%	7	92%	23.6	32%	55.1	70%	34.5	47%	89.5
Hudef	Viva Pro Gen2	16	New	129.99	Elongated	Thermoformed	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,060	63%	16.5	7.4	5.5	8.1	128	96%	6.5	69%	25.3	100%	55.5	80%	34.8	56%	90.3
Legacy	Legacy Pro	16	New	150.0	Elongated	Thermoformed	Peel Ply-Fine	Toray Carbon Fiber	Polypropylene Honeycomb	1,913	45%	16.5	7.5	5.3	8	121	72%	6.43	67%							
Pickleball Apes	Pro Line Energy	16.5	New	149.99	Elongated	Thermoformed	Peel Ply-Coarse	Kevlar & Carbon Fiber	Polypropylene Narrow-Cell Honeycomb	2,081	69%	17	7	6.25	8.3	122	78%	5.7	17%	24.7	89%	55.3	75%	34.9	59%	88.2
Ronbus	R1.16	16	New	120.0	Elongated	Cold Layered	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,307	97%	16.5	7.5	5.5	8.1	117	57%	6.2	52%							
Selkirk	Invikta Amped	16	Used-3 months	150.0	Elongated	Cold Layered	Grit	Fiberglass	Polypropylene Honeycomb	1,220	8%	16.5	7.4	5.25	7.3	109	22%									
Selkirk	SLK Halo Power XL	13	New	140.0	Elongated	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	1,849	36%	16.4	7.4	5.75	7.5	115	47%	5.27	9%	24.2	65%	51.9	11%	31.7	5%	89.7
Speedup	Fire 14	14	New	119.99	Elongated	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,016	58%	16.5	7.5	6	7.8	117	57%	5.85	31%	24.3	72%	54.7	54%	35.1	72%	92.7
Speedup	Ice 16	16	New	119.99	Elongated	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,863	39%	16.5	7.5	6	7.8	122	78%	6.05	40%	24.9	95%	54.9	61%	33.4	15%	92.3
Vatic Pro	Flash	14	New	139.99	Hybrid	Thermoformed	Peel Ply-Fine	Toray Carbon Fiber	Polypropylene Honeycomb	2,174	81%	16.3	7.7	5.3	8.1											
Vatic Pro	V7	16	New	139.99	Elongated	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,981	55%	16.5	7.5	5.3	8.2	124	86%	6.68	77%	23.2	20%	53.2	33%	33.4	15%	89
Volair	Mach 1	16	New	139.99	Elongated	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,002	56%	16.5	7.5	5.5	7.7	110	24%	5.72	22%	24	55%	52.8	22%	33.8	22%	89.2
Volair	Mach 1	14	New	139.99	Elongated	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,123	76%	16.5	7.5	5.5	8	114	41%	5.92	33%	24.2	65%	53.3	34%	34.1	29%	89.7
