Company	Paddle	Core Thickness (mm)	Condition	Price	Shape	Manufacturing Process	Surface Texture	Surface Material	Core Material	Spin RPM	Spin Percentile	Length (in)	Width (in)	Handle Length (in)	Static Weight (oz)	Swing Weight	Swing Weight Percentile	Twist Weight	Twist Weight Percentile	Balance Point (cm)	Balance Point Percentile	Serve Speed-MPH (Power)	Power Percentile	Punch Volley Speed-MPH (Pop)	Pop Percentile	Surface Hardness (Shore D)
Bread & Butter	Drip Contender	16	New	95.0	Elongated	Cold Layered	Grit	T700 Carbon Fiber	Polypropylene Honeycomb	1,017	0%	16.4	7.5	5	8.3											
Bread & Butter	Drip Verge	16	New	95.0	Elongated	Cold Layered	Grit	T700 Carbon Fiber	Polypropylene Honeycomb	1,046	1%	16.4	7.5	5	8.3											
Bread & Butter	Spear Breakout	13	New	80.0	Standard	Cold Layered	Grit	T700 Carbon Fiber	Polypropylene Honeycomb	1,156	6%	15.9	7.9	5	7.6											
Bread & Butter	Spear Juno	16	New	80.0	Standard	Cold Layered	Grit	T700 Carbon Fiber	Polypropylene Honeycomb	1,081	3%	15.9	7.9	5	7.6											
Franklin	Ben Johns Signature	13	Used-2 months	100.0	Elongated	Cold Layered	Grit	Fiberglass	Polypropylene Honeycomb	1,267	11%	16.5	7.3	5.5	8.1	120	68%									86.7
Hudef	Viva Pro Gen1	16	New	99.0	Elongated	Thermoformed	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,077	67%	16.5	7.4	5.5	8.1	122	78%	6.16	47%	24.4	74%	52.1	12%	33.9	27%	89.3
Monarch	Mercenary Graphite 2	10.3	Used-3 months	79.99	Standard	Cold Layered	Grit	Graphite	Polypropylene Honeycomb	1,099	4%	15.5	8.2	4.5	7.8	108	21%									
Vatic Pro	Prism Flash	16	New	99.99	Hybrid	Hybrid	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,200	85%	16.3	7.7	5.3	7.8	111	29%	6.25	55%	24	55%	52.8	22%	33.4	15%	94.3
